gene_id,acinar,alpha,beta,delta,ductal,endothelial,epsilon,gamma,unclear
gene_name-253,1.2852464,-0.13836664,-0.032537725,-0.04450321,0.42874375,0.5063277,-0.19167641,-0.19167641,3.0697002
gene_name-254,-0.16971111,-0.008838431,0.3747162,-0.10776192,-0.26473758,0.25321022,-0.47961515,-0.1777728,-0.47961515
gene_name-256,0.16173436,-0.045837224,-0.14888228,0.020671628,-0.24680428,4.1842194,-0.24680433,-0.043874826,-0.24680433
gene_name-259,-0.12309114,-0.086626105,-0.12309114,-0.12309118,0.753771,4.58693,-0.12309114,-0.12309118,-0.12309114
gene_name-262,-0.16873619,-0.13914818,-0.05886522,-0.07962655,1.0299827,4.003987,-0.16873616,-0.07197978,-0.16873616
gene_name-269,-0.3322025,-0.026620865,0.1718917,-0.17982385,0.59909827,0.11048248,-0.33220255,-0.0505706,-0.33220255
gene_name-284,-0.44938016,0.5839697,-0.4405098,-0.5955713,-0.75620276,-0.75620294,0.6530887,-0.5538222,-0.75620294
gene_name-286,0.071338095,-0.0152121885,-0.06744388,-0.10928088,0.85701126,0.8882595,-0.19493319,-0.1949332,-0.19493319
gene_name-290,-0.42886242,0.34594777,-0.2769056,-0.3842862,0.15970144,-0.42886233,-0.42886233,-0.42886218,-0.42886233
gene_name-294,-0.3678062,-0.35386938,1.5602396,-0.37829992,-0.3706071,-0.46953103,-0.469531,0.016909247,0.46052113
gene_name-302,1.3409361,-0.129425,-0.072961144,-0.18320908,0.8426251,-0.24317563,-0.24317563,-0.12711056,2.6144204
gene_name-307,0.7996451,-0.0632687,-0.07060776,-0.16588274,0.8468242,0.3535839,0.29889175,-0.2208807,0.888163
gene_name-315,0.05857437,-0.1964881,0.47188154,0.09199969,0.43941182,-0.4028115,0.7334453,-0.18213841,1.58707
gene_name-320,-0.2906595,0.27021122,-0.24562971,-0.29065967,-0.29065946,0.267887,-0.29065955,-0.22688879,-0.29065955
gene_name-322,-0.13945541,-0.13945568,-0.045042783,-0.13945535,1.8258213,1.9650011,-0.13945544,-0.13945535,-0.13945544
gene_name-325,-0.008212666,-0.109141134,0.041966043,-0.08003884,0.6244342,0.808568,-0.42855102,0.09796442,0.79925644
gene_name-337,-0.17484044,-0.06296764,-0.0500352,-0.17484038,0.5354606,0.9512326,-0.1748404,0.143806,2.4689226
gene_name-345,-0.09153689,0.031234007,-0.09153697,-0.091536954,-0.09153689,1.5903859,-0.0915369,-0.091536954,-0.0915369
gene_name-355,-0.09343931,-0.0023679703,-0.09343924,-0.09343928,-0.09343931,-0.09343929,4.9532804,0.060406853,-0.093439296
gene_name-398,0.3522423,-0.08028794,0.05779819,-0.08028795,-0.08028796,-0.080287986,-0.08028798,-0.08028795,4.959856
gene_name-402,-0.30399653,-0.25737143,-0.26103216,0.600611,-0.15354714,-0.30399653,-0.30399653,0.9885656,-0.30399653
gene_name-405,-0.20839487,0.25886017,-0.21169645,-0.4190667,0.20594773,-0.25939474,2.6921997,-0.37162304,-0.5810974
gene_name-415,0.7353345,-0.2771089,-0.12319911,-0.22884987,2.0347917,0.008311589,-0.42492384,0.2863725,2.6284077
gene_name-416,-0.2731343,-0.18750589,-0.07130894,-0.27313426,0.48411858,2.2021968,-0.27313432,0.76714176,-0.27313432
gene_name-417,0.45906797,-0.3124689,0.14153731,-0.35078844,0.94203955,2.1928248,-0.4758498,0.54595697,1.148156
gene_name-424,-0.1474728,-0.06879133,-0.044860218,-0.14747283,1.7595981,-0.14747278,-0.14747278,-0.14747283,-0.14747278
gene_name-437,-0.1229898,-0.08941323,-0.12298974,-0.0004144595,0.66315085,-0.12298978,-0.12298978,0.2828543,-0.12298978
gene_name-438,1.0773895,-0.08475858,-0.022045666,-0.12445392,0.20819074,-0.12445388,-0.12445387,0.008350203,-0.12445387
gene_name-443,-0.18931206,-0.09612798,-0.10613476,0.9254793,-0.18931204,-0.1893121,-0.1893121,-0.18931201,-0.1893121
gene_name-448,-0.66530615,-0.21594767,-0.38164285,0.73984396,-0.5034347,-0.33707872,0.37410346,1.1201576,-0.66530615
gene_name-449,0.8484544,-0.12674026,-0.061619654,0.19879748,0.79285294,0.031183064,-0.048163712,-0.29981914,1.3249338
gene_name-458,0.33274102,-0.13005473,-0.082851835,-0.098968275,1.6372356,0.3626229,-0.23707564,-0.088909745,-0.23707564
gene_name-469,2.4460828,-0.16128185,-0.120114826,-0.14787139,0.4877208,-0.32943746,-0.32943743,-0.23227644,2.413293
gene_name-472,2.8388844,-0.22971894,-0.03607233,-0.2851133,0.77349275,-0.2851133,-0.28511328,-0.22840284,2.7859454
gene_name-473,2.4374182,-0.19001265,-0.08062552,-0.15184748,0.39291418,-0.25436977,1.341295,-0.19548759,2.3736138
gene_name-474,2.7822647,-0.18892662,-0.12636657,-0.30862254,0.6938738,-0.3086227,-0.3086227,-0.16577835,2.1303573
gene_name-479,2.141129,-0.096745364,-0.19189855,-0.19189863,0.18206908,-0.19189863,-0.19189863,-0.11145936,1.893596
gene_name-489,3.1064253,-0.11090382,-0.14604835,-0.21301787,0.04006627,-0.3078865,-0.3078865,-0.30788633,-0.3078865
gene_name-490,-0.69257283,-0.11085907,0.50143313,0.20348875,-0.20332147,-1.9494928,0.2622178,0.10828931,0.28530288
gene_name-493,-0.44725108,0.6265783,-0.44191366,-1.0702276,-1.7455174,-2.7412179,0.44575608,0.3365551,-0.61509645
gene_name-495,-0.07452393,-0.09751832,-0.08290477,-0.18711007,2.333557,-0.24100244,-0.24100244,-0.1862119,-0.24100244
gene_name-499,1.1618187,0.0659056,-0.22092688,-0.26856348,-0.09337818,0.28344527,-0.26856357,-0.121043764,-0.26856357
gene_name-502,1.1174587,-0.17150411,0.13233285,-0.05915315,0.88176554,-0.17771809,0.32624063,-0.28557372,1.9443241
gene_name-503,0.08090166,-0.027049705,-0.19366343,-0.1971659,0.9024202,-0.40660998,-0.40660995,0.23065855,-0.40660995
gene_name-509,-0.13111798,0.00085018395,-0.05036056,0.3146237,-0.13111798,-0.13111795,-0.13111795,-0.13111793,-0.13111795
gene_name-512,3.0218942,-0.110957205,-0.14093645,-0.19073278,-0.06444335,-0.0016601185,-0.3656552,-0.29136658,-0.3656552
gene_name-547,-0.17084318,-0.1552696,0.0010487286,-0.03520164,2.2743392,-0.17084323,-0.17084323,-0.17084315,-0.17084323
gene_name-548,0.16350244,-0.22123559,0.523533,-0.10937891,1.440662,-0.3452419,-0.3452419,-0.29519266,-0.3452419
gene_name-549,-0.06592321,-0.019104803,-0.06592321,-0.06592321,-0.06592321,-0.06592321,-0.0659232,-0.06592321,4.9670386
gene_name-563,0.035541046,-0.022629274,-0.04379944,-0.2001114,1.2369021,-0.2001114,-0.20011142,-0.13015227,-0.20011142
gene_name-575,-0.065981634,-0.0659818,-0.06598167,-0.065981634,0.8491081,-0.065981634,-0.065981634,-0.065981634,-0.065981634
gene_name-577,-0.08327949,-0.27528927,-0.28972492,1.7492399,0.10409134,0.2461185,-0.28972498,-0.2362796,-0.28972498
gene_name-582,-0.114708506,0.08157161,-0.11470847,0.044620108,-0.1147085,-0.11470849,-0.1147085,-0.11470846,-0.1147085
gene_name-583,0.719276,-0.33032912,-0.39151058,0.26220188,0.3780274,1.4314417,1.7633227,0.8724035,0.6565289
gene_name-584,1.3471502,-0.23004621,-0.13373609,-0.21430477,0.5752843,1.1762315,1.5302768,0.2932828,1.5463567
gene_name-592,2.7591908,-0.099996515,-0.1230827,-0.18414147,-0.23146243,-0.23146237,-0.23146237,-0.1837939,-0.23146237
gene_name-593,1.1244345,-0.11366801,-0.031417567,0.15753739,-0.2708802,-0.46905813,0.717488,0.023615185,0.3928615
gene_name-611,-0.13107133,-0.01121852,-0.1310712,-0.13107124,-0.13107133,3.1972425,-0.13107133,0.10542699,-0.13107133
gene_name-613,-0.18763565,-0.14429563,0.33935165,-0.18763551,-0.18763565,5.9203496,-0.18763565,-0.18763551,-0.18763565
gene_name-614,-0.11337304,-0.11337285,-0.019396896,0.009084346,-0.11337304,-0.11337304,-0.11337304,0.5284239,-0.11337304
gene_name-619,0.11008845,0.1959435,-0.19867773,-0.2553316,-0.31089953,-0.4077628,0.8221017,-0.1418924,-0.40776283
gene_name-620,-0.22132905,-0.18689814,-0.16541444,1.4411939,-0.22132906,-0.22132905,-0.22132905,-0.22132899,-0.22132905
gene_name-622,0.07217683,-0.39577803,-0.14627248,0.85573655,0.029178225,-0.47116342,2.8322558,0.8279158,-0.47116342
gene_name-673,-0.13266094,-0.1326613,-0.016595986,-0.02691355,-0.13266093,-0.13266094,-0.13266094,0.6819832,-0.13266094
gene_name-676,-0.09206405,-0.052058823,-0.09206402,-0.09206407,0.29161364,-0.092064075,-0.09206407,0.085293755,4.953968
gene_name-685,0.5505468,0.0015359966,-0.0058201333,0.23977242,-0.24869795,-0.46438614,-0.46438614,-0.25106367,-0.46438614
gene_name-699,0.87898076,-0.08112633,0.056971274,-0.08112639,-0.08112636,-0.081126384,-0.081126384,-0.081126384,-0.081126384
gene_name-705,-0.33225572,-0.1608761,-0.03245518,0.26963753,-0.33225572,-0.3322557,-0.3322557,0.7192187,-0.3322557
gene_name-718,1.5939054,-0.19535139,-0.19034012,-0.06275358,0.95511097,3.2948246,-0.34340835,-0.24390075,-0.34340835
gene_name-728,3.06625,-0.206587,-0.15408728,-0.29992652,0.7696043,0.13960429,-0.29992628,-0.25206527,2.0579484
gene_name-731,0.68360746,-0.044941504,-0.09188043,-0.09188048,-0.09188045,-0.09188045,-0.091880456,-0.09188046,4.9540596
gene_name-733,-0.07908057,-0.03939435,-0.079080574,-0.079080574,-0.079080574,-0.07908055,4.9604597,0.100903,-0.07908055
gene_name-734,-0.16145156,-0.1614515,-0.07024031,-0.089790076,2.6656725,-0.16145156,-0.16145156,-0.16145144,-0.16145156
gene_name-736,0.7703897,-0.09571728,-0.046395686,-0.2722153,1.8348628,1.4408404,-0.44660997,-0.44660968,-0.44660997
gene_name-739,0.7813084,0.13703266,0.08005685,-0.86912644,1.1153259,1.2427175,0.58099926,-0.6831397,-0.27480552
gene_name-740,0.22698562,-0.15607463,-0.062180977,-0.19281578,2.2344751,-0.19281578,-0.19281578,-0.19281578,3.364772
gene_name-741,1.1334592,-0.016792847,-0.34355327,-0.38184527,1.4235982,0.11075731,-0.88605845,-0.09829108,0.2088511
gene_name-750,1.8915453,-0.045420777,-0.40647274,0.27775335,-0.15914156,-0.079507954,0.6546315,-0.20344009,-0.4719382
gene_name-752,0.3689294,-0.08709419,0.23196098,0.120252915,0.081423685,0.64614326,0.521008,-0.36078516,0.58251154
gene_name-759,-0.57336426,0.1679759,-0.20963469,-0.28287292,-0.019424764,0.104122676,-0.57336426,0.14852683,-0.57336426
gene_name-793,0.124666914,-0.1209102,-0.12091012,-0.12091016,2.0490713,-0.12091016,-0.12091015,-0.12091016,-0.12091015
gene_name-794,0.47453132,-0.07744193,-0.12756453,-0.12756456,1.0634296,-0.12756465,-0.12756465,-0.022015411,-0.12756465
gene_name-805,-0.087618224,-0.087618046,0.014666683,-0.087618195,-0.087618224,4.1272464,-0.08761821,-0.08761821,-0.08761821
gene_name-807,-1.4552137,0.40190667,-0.24461754,-0.24288347,-1.879322,-1.5127553,-0.81499183,0.5261792,-1.2675138
gene_name-814,-0.40122163,-0.3148333,-0.086589634,0.7050944,-0.40122163,-0.40122154,-0.40122154,1.0340146,-0.40122154
gene_name-824,-0.10446646,-0.10446672,0.0060868347,-0.104466446,1.561,-0.104466476,-0.104466476,-0.104466446,-0.104466476
gene_name-827,-0.09039628,-0.09039626,0.047828276,-0.09039625,1.0213389,-0.09039628,-0.09039628,-0.09039626,-0.09039628
gene_name-831,-0.5080529,0.27387974,-0.5080529,-0.5080529,-0.5080529,-0.5080529,1.1785843,0.5122114,-0.50805295
gene_name-835,-0.4121875,0.25058684,-0.23746626,-0.06636363,-0.11518875,-0.41218737,-0.4121874,-0.31628093,-0.4121874
gene_name-850,0.63719684,-0.19658215,0.062162098,-0.27393824,2.0402212,-0.2739384,-0.2739384,-0.099654414,0.8761178
gene_name-852,0.3534209,-0.43276936,-0.08822298,0.6451011,-0.42206427,-0.7358194,0.42790544,1.256688,0.17176878
gene_name-860,2.0215626,-0.08433277,-0.11437617,-0.11437621,-0.114376284,-0.11437625,-0.11437625,-0.1143762,-0.11437625
gene_name-867,-0.11535463,-0.115354545,-0.11535457,-0.115354575,0.25562188,7.1759963,-0.115354635,-0.115354575,-0.115354635
gene_name-869,-0.091178544,-0.05208015,0.03021847,0.071532264,-0.091178544,-0.091178544,-0.09117855,0.089021094,-0.09117855
gene_name-885,-0.53706974,-0.122083,0.53445417,0.14817609,-0.164143,-0.6247954,-0.6247954,-0.035883762,0.63838553
gene_name-890,-0.16227897,0.07355811,0.0015520692,-0.16227904,0.06853542,-0.162279,-0.162279,-0.06794011,-0.162279
gene_name-895,0.9342852,-0.33873695,0.19947629,0.35177827,1.3067775,0.40766534,-0.38754833,-0.17218547,-0.38754833
gene_name-902,0.1329075,-0.02767937,-0.092130065,-0.16202484,0.077409,3.4038332,-0.16202475,-0.16202483,2.8721247
gene_name-904,-0.10423162,-0.10423152,-0.104231715,-0.10423167,1.5402526,1.2657636,-0.10423164,-0.10423168,-0.10423164
gene_name-905,0.27064484,-0.17002778,-0.012441756,-0.15545611,0.63815135,0.90956324,0.8127268,0.23682652,2.8177414
gene_name-908,-0.31857923,-0.06723001,-0.1148722,-0.34230867,0.16789411,1.2198138,-0.43071967,0.59669393,2.0533447
gene_name-909,-0.13315503,-0.13315532,-0.047545876,-0.13315497,2.3064032,-0.133155,-0.133155,-0.13315497,-0.133155
gene_name-910,-0.1540877,-0.12688799,-0.09309223,-0.15408765,0.6495735,5.9747024,-0.15408769,-0.07220148,-0.15408769
gene_name-921,-0.09363698,-0.046689764,-0.09363698,-0.09363698,1.2019811,-0.09363697,-0.09363697,-0.09363698,-0.09363697
gene_name-925,-0.19511145,-0.18069553,-0.046747275,-0.12656681,2.2122297,2.6841803,-0.19511142,-0.19511135,-0.19511142
gene_name-928,0.36512074,-0.09967709,-0.06627451,-0.15589628,0.45047608,4.38448,-0.15589632,-0.15589628,-0.15589632
gene_name-948,-0.29550016,-0.24798925,0.26559708,-0.03769477,-0.15274176,0.1889277,0.50943816,0.72016567,1.505448
gene_name-952,0.25907284,-5.056539e-05,-0.17498296,-0.17498294,1.0036718,0.8393952,-0.17498288,-0.17498294,-0.17498288
gene_name-963,-0.80328953,0.012300255,0.2355457,-0.05801508,-0.3740371,0.18012182,-0.80328965,0.121418186,1.0298736
gene_name-982,-0.1774602,-0.20424286,0.31032777,-0.2617257,1.7980953,-0.3939667,-0.39396673,-0.0032004076,1.3146453
gene_name-985,0.39733845,-0.025662512,-0.023771571,-0.064963594,-0.060218714,0.48534688,-0.22272019,-0.06714333,2.4849699
gene_name-1018,0.41393074,0.11214629,-0.3935894,-0.36599407,1.2225248,1.3873386,1.0069574,-0.38067383,-0.29504296
gene_name-1033,0.7895806,-0.18869022,0.20182902,-0.07591089,0.28867123,0.012403548,0.27688414,0.07519405,1.043577
gene_name-1034,-0.08604017,0.58425015,-0.6449263,-0.67523026,-0.30092952,-0.8278451,-0.0513362,-0.5386967,0.45858064
gene_name-1038,0.48597586,-0.041968513,-0.005686341,-0.28673512,0.57726216,-0.44513533,0.6047696,0.034901585,0.6183958
gene_name-1050,-1.0664061,0.58500755,-0.9540473,-0.9950717,-1.005874,-1.0664061,1.1578954,0.8454772,-1.066406
gene_name-1051,-0.19556144,0.10330368,-0.073706575,-0.19556142,0.20123506,0.8247177,-0.19556147,-0.19556142,-0.19556147
gene_name-1057,-0.6918747,-0.15896207,0.5705442,0.089728095,-0.30614904,0.48632988,-0.22310582,0.107409015,0.2747602
gene_name-1070,-0.23850285,-0.10508894,-0.1827398,0.8003591,-0.23850285,-0.23850285,-0.23850283,0.10992502,-0.23850283
gene_name-1076,-0.21174352,-0.19340447,0.8107893,0.020588059,-0.012506523,-0.21174349,-0.2117435,-0.21174343,-0.2117435
gene_name-1080,-0.11290017,-0.006430295,0.00044074247,0.20597753,-0.11290017,-0.11290016,-0.11290017,-0.11290022,-0.11290017
gene_name-1085,0.36957118,-0.034474857,-0.078764886,-0.07876487,0.3793608,-0.07876483,-0.07876483,-0.07876487,-0.07876483
gene_name-1099,0.7079112,-0.08873696,0.26977754,-0.11893197,-0.18074507,-0.49853805,-0.84060717,-0.031198382,0.60895705
gene_name-1105,0.38787434,0.076000124,0.15761007,-0.43156144,-0.52512336,-0.93262047,-1.5683631,0.16365018,-0.9987167
gene_name-1113,-0.294556,0.1746631,-0.2945558,-0.21322487,-0.29455602,-0.29455593,-0.29455593,0.19397262,-0.29455593
gene_name-1125,-0.58234864,0.049606834,-0.061083376,0.17376924,-0.40469038,1.695994,-0.6687391,-0.031869598,-0.6687391
gene_name-1132,1.1414309,-0.2467083,0.2621221,-0.22478357,1.3124608,-0.3856106,-0.38561064,-0.18815172,3.2989647
gene_name-1133,1.0426291,-0.14129813,0.12435767,0.017352296,-0.024486171,0.4750514,-0.7502048,-0.089017525,1.3299404
gene_name-1166,-0.1488622,-0.093167186,-0.078700244,-0.14886227,0.47958964,2.4285648,-0.14886223,0.21901621,-0.14886223
gene_name-1169,2.8380666,-0.19371691,-0.01771071,-0.22512124,0.29607105,-0.22512116,-0.22512116,-0.16050434,-0.22512116
gene_name-1171,0.2118419,-0.22369117,0.2977453,0.27387264,0.8985258,1.4891897,0.8808034,-0.43243095,0.57302725
gene_name-1185,-0.2849732,0.39369625,-0.08271554,-0.0009917456,-0.70917743,-2.514818,0.36935896,-0.76668453,0.15850392
gene_name-1186,-0.23989865,-0.060256977,0.39266345,-0.05375676,-0.35342324,-0.35342333,-0.35342333,0.06227421,-0.35342333
gene_name-1191,-0.6436378,-0.18178251,0.59449947,0.37757793,-0.6724787,-0.8181228,-0.81812274,0.21723714,-0.81812274
gene_name-1230,-0.09418048,-0.09418049,-0.094180554,-0.09418054,1.7183179,-0.094180495,-0.094180495,-0.09418054,-0.094180495
gene_name-1249,-0.65490836,-0.09165852,0.2348532,0.11348222,-0.6948065,-0.28466958,-0.9691241,0.53417087,-0.3403653
gene_name-1251,1.7457052,-0.25326577,0.122766405,-0.22147691,0.76548487,1.5493155,1.4665499,-0.26442483,3.1533527
gene_name-1271,0.16595356,-0.12264383,0.118542135,0.03271763,0.5717093,0.80736965,-0.55275404,-0.048482295,-0.55275404
gene_name-1287,-0.079911076,-0.03511226,-0.0799111,-0.07991105,0.8364447,-0.07991106,-0.07991106,-0.07991106,-0.07991106
gene_name-1299,-0.113968864,-0.050399195,-0.113968864,-0.11396886,1.563673,-0.11396886,-0.113968864,-0.11396886,-0.113968864
gene_name-1300,1.6648794,-0.106341496,-0.06340958,-0.13926841,0.13891318,-0.13926841,2.884047,-0.13926841,-0.13926841
gene_name-1313,-0.26902917,-0.041588474,-0.016681764,0.5840547,-0.26902917,-0.26902917,-0.26902917,-0.11673389,-0.26902917
gene_name-1321,2.8100712,-0.21421789,-0.22567736,-0.19818765,0.83290064,-0.31281683,2.1212752,-0.19879666,2.2334678
gene_name-1332,-0.12221791,-0.05032411,-0.032790795,-0.020621648,1.0700705,1.0851754,-0.6820467,-0.22953734,0.51925325
gene_name-1342,1.7387196,-0.09616055,0.15199582,-0.46320218,1.0022037,-0.3092433,-0.607472,-0.44390723,1.7480828
gene_name-1348,0.48479524,-0.20633723,0.6037867,-0.21379732,0.06598721,1.6591622,-0.5087415,-0.19702217,1.0402822
gene_name-1359,1.4899,-0.1675952,-0.00914282,0.0978231,0.62712675,-0.5289392,-0.5289392,-0.2331256,1.858846
gene_name-1374,0.061513193,-0.13562833,-0.09504872,0.050381582,1.135468,1.0391159,-0.16113912,-0.065407135,2.4533913
gene_name-1379,1.1223631,-0.15583906,0.10504236,-0.36135054,1.1288801,1.4447298,-0.61722976,-0.2784035,2.3703086
gene_name-1400,-0.46677217,0.27572805,-0.36017504,-0.17201002,-0.23451696,0.78281194,0.76719564,-0.29471973,0.68114877
gene_name-1402,0.26022476,-0.035624404,-0.043778308,0.020775057,0.0504931,-0.18006653,-0.18006653,-0.089786865,4.82352
gene_name-1406,3.4102554,-0.224588,-0.10220149,-0.21358162,0.4668727,0.5572512,-0.33581656,-0.30035383,-0.33581656
gene_name-1411,-0.20774081,-0.29779077,-0.14254335,1.9719836,-0.20732078,-0.32062057,-0.3206206,-0.3206207,-0.3206206
gene_name-1418,-0.13058278,-0.10493269,0.008192307,-0.1305828,1.8089447,-0.13058275,-0.13058275,-0.1305828,-0.13058275
gene_name-1428,-0.13232109,-0.0998934,0.109294124,-0.132321,0.84088635,1.240604,-0.13232107,-0.132321,2.5109382
gene_name-1446,-0.18416257,-0.11683637,-0.2988842,0.17567809,-0.37571937,-0.59507746,-0.59507746,0.9527516,0.5836004
gene_name-1449,0.28221384,-0.09292922,-0.09292923,-0.09292918,0.82460994,1.444656,-0.09292914,-0.092929184,-0.09292914
gene_name-1450,0.037566487,-0.14077547,-0.1064724,-0.080249496,0.74562687,5.8447614,-0.16614719,-0.16614722,-0.16614719
gene_name-1458,-0.06574615,-0.065746255,0.07214064,-0.06574612,-0.06574615,-0.065746136,-0.06574614,0.113999166,-0.06574614
gene_name-1470,-2.3624656,0.3758539,0.01477022,0.3424329,-2.15221,-2.5359619,0.35323566,0.26456937,-1.6909746
gene_name-1477,-0.12028081,-0.053925313,-0.030247454,0.12476115,-0.12028081,2.7481925,-0.12028082,-0.120280765,-0.12028082
gene_name-1481,0.89012575,-0.3903103,0.63400334,-0.08411126,1.020432,0.650392,-0.57143396,-0.07062357,1.0728238
gene_name-1482,-0.40005076,-0.5680817,0.4471305,0.9083547,0.3972406,-0.6386381,0.22206146,0.71289843,2.240582
gene_name-1491,-0.104592234,-0.10459203,-0.10459229,-0.104592286,1.9484385,-0.104592256,-0.104592256,-0.104592286,-0.104592256
gene_name-1494,1.5317323,-0.2021329,-0.1271193,-0.06959974,0.63283896,0.14115407,-0.3163721,0.099101976,2.2871954
gene_name-1516,0.9321065,-0.35329816,0.020663047,0.011353987,0.108538345,-0.3873972,-0.3873972,0.9957275,-0.3873972
gene_name-1520,0.59479296,0.0056078667,-0.18483274,-0.31279424,0.71538615,0.10709258,-0.35936543,-0.09965236,3.1463747
gene_name-1524,-0.08121074,-0.08121091,-0.08121074,-0.081210785,-0.08121074,3.2791927,-0.08121075,0.09881086,-0.08121075
gene_name-1540,-0.08032678,-0.080326796,-0.08032671,-0.08032677,1.2351758,-0.080326766,-0.080326766,-0.08032676,-0.080326766
gene_name-1558,-0.09382785,0.039598204,-0.09382783,-0.093827866,-0.09382785,-0.093827866,-0.093827866,0.08641914,-0.093827866
gene_name-1572,-0.10519516,-0.08259747,0.10160057,0.081803575,0.3632715,-0.27180073,-0.27180073,0.05252042,-0.27180073
gene_name-1584,-0.13208571,-0.038635556,-0.13208577,0.17549007,0.30533472,-0.13208568,-0.13208568,0.10759262,-0.13208568
gene_name-1604,-0.080637775,0.011556482,-0.0806378,-0.08063775,-0.08063778,-0.08063776,-0.08063777,0.099373534,-0.08063777
