index,B-cell,CD14+ Monocyte,CD4 T-cell,CD8 T-cell,Dendritic cell,FCGR3A+ Monocyte,Megakaryocyte,NK cell
ACADM,0.02071999,-0.15811537,-0.07440753,0.030859152,-0.13169108,0.22061785,0.3809705,0.24308655
USP33,0.05920853,-0.107949525,-0.011731642,-0.023849411,0.03284949,0.1198665,0.6210648,0.0063137067
IFI44,0.06413858,0.1783347,-0.08916159,-0.074644245,0.074008025,0.07645448,0.3839206,-0.18171173
RP5-887A10.1,-0.112716645,-0.08622098,-0.09755516,-0.112716645,-0.11271661,-0.112716615,-0.11271645,0.6561638
PRKACB,0.08976772,-0.0858651,-0.042902023,0.020284839,0.007738453,0.24605167,-0.13828157,-0.025116721
SH3GLB1,-0.002651872,0.09625115,-0.16342765,-0.007746826,0.42113477,0.2924031,-0.04576779,-0.113590285
PKN2,-0.09654261,0.08779594,-0.056883823,0.021883965,0.06878586,0.17548454,-0.0036048475,-0.02750144
GTF2B,0.08296535,-0.093974814,-0.029399637,0.0351012,0.06603184,0.054955162,0.19843541,-0.011763563
GBP1,0.1730129,-0.049747966,-0.038905226,0.10246749,0.1290394,0.021438506,-0.0644768,-0.22734697
GBP4,0.06269383,-0.011145164,-0.068554506,-0.03138126,0.2065946,0.29198754,-0.23683454,-0.091952436
LRRC8C,0.117594935,-0.038492687,0.08727482,-0.07217476,-0.12974846,-0.046531953,0.07190678,-0.12366125
TMED5,0.07962001,-0.013811441,-0.08873286,0.06438043,0.16611567,0.13635902,0.11864449,-0.114091136
RP11-421L21.3,0.048028454,-0.11290901,0.021618364,-0.025378501,-0.066799626,-0.047387023,-0.1353064,0.13112277
HENMT1,-0.0048292843,-0.14783227,-0.026436722,0.23487276,-0.13358921,0.48413333,-0.050128676,-0.11797306
TMEM167B,-0.008362401,0.032312557,-0.06407107,-0.039577227,0.18245113,0.055089884,0.06287539,0.021089962
SARS,0.04294056,-0.10089754,-0.016510531,0.053996474,0.1676146,0.18416137,-0.006980259,-0.06986695
LAMTOR5,-0.05031633,0.14178883,-0.16884315,-0.079812095,0.4792172,0.031184725,0.3993484,0.031803314
DRAM2,-0.07441955,0.116311215,-0.14550464,-0.11499386,0.1952623,-0.16339152,0.1364187,0.31840312
CEPT1,-0.060795654,-0.103506655,-0.015209198,-0.02755494,0.06839312,-0.058164362,0.18289113,0.2732321
DENND2D,0.18990299,-0.27633142,0.09555497,0.1709189,-0.33967984,0.40357196,-0.2508024,-0.19913766
CHI3L2,-0.053422846,-0.15054138,-0.0064368765,0.0076666456,-0.19847487,0.09673549,0.012417082,0.33065453
C1orf162,-0.21600506,0.78201383,-0.27995118,-0.57271916,0.8451535,0.2971531,0.90743965,-0.28741887
ST7L,0.076642625,-0.008241883,-0.008485813,-0.029794598,0.107665904,-0.078739524,-0.057696395,-0.07107969
LRIG2,0.03233317,-0.027377173,0.008125067,-0.044166498,0.03775051,0.08949928,-0.100286305,-0.07083956
AP4B1-AS1,0.018289035,-0.03040901,-0.035482105,-0.050550416,-0.050550364,0.07997626,-0.050550334,-0.050550416
RP5-1073O3.7,0.12887736,-0.109194666,0.0856931,-0.026334008,-0.054279838,-0.059309315,-0.010847539,-0.10624762
CD2,0.765488,-0.5869685,0.15538825,0.49311048,-0.5362781,-0.13042417,-0.33614975,-0.58660024
WARS2,-0.010596012,0.006460793,-0.056166414,0.046315707,-0.061690014,0.07388101,0.033961806,0.016666424
FCGR1B,-0.1468132,0.51789564,-0.14681295,-0.14681341,0.13557933,-0.14681384,0.045309424,-0.14681342
LIX1L,-0.06065441,-0.017939432,0.016516032,0.058508813,-0.09274293,0.016900597,-0.05102276,0.052652672
CD160,-0.16046476,-0.14787886,-0.1521745,0.41463575,-0.16895737,1.1231636,-0.066850565,-0.13213976
FCGR1A,-0.20105705,0.8199163,-0.20207784,-0.2091935,-0.093552664,-0.2091937,-0.010630941,-0.18941922
BOLA1,0.04350396,-0.07047434,0.039296255,0.072542034,-0.09603424,-0.058874067,0.01111687,-0.050697483
CTSS,-0.43880153,1.2124631,-0.49291554,-0.56725824,1.4791117,-0.39763933,0.2633558,-0.11922927
FAM63A,0.1191983,-0.042121407,-0.027939975,-0.078033514,0.015872851,-0.10707688,0.04405275,-0.05388013
PRUNE,0.015947318,-0.013673797,-0.03046576,0.054464094,0.005717928,-0.053507302,-0.10754539,-0.058100604
MLLT11,0.09591127,-0.069731995,-0.034252305,0.04727353,0.038101308,0.13000031,-0.09167351,-0.10307285
PI4KB,-0.07063996,-0.03290272,-0.0027220245,0.07251747,0.06872926,0.09390681,0.35158944,-0.026441846
C2CD4D,0.03499232,-0.033732194,-0.018689081,-0.03373217,-0.033732127,-0.033732116,-0.03373216,-0.033732165
THEM4,0.15727422,-0.1905176,0.07396873,0.076312736,-0.006136968,-0.0542507,0.121515274,-0.12433364
S100A11,0.043322787,1.1285217,-0.5793123,-0.32109234,1.4194907,-0.18379472,0.7013254,-0.80026674
S100A12,-0.23046827,0.89957035,-0.2200658,-0.22128953,-0.15193546,-0.15931718,-0.095992394,-0.20917302
S100A8,-0.4417748,1.8208189,-0.4554547,-0.50473577,0.03239373,-0.4593123,-0.18065937,-0.46653235
S100A6,-0.068342865,1.150993,-0.44569057,0.014782801,1.0167191,-0.2704519,0.4499741,-1.0477577
SNAPIN,-0.04672336,0.06117382,-0.14413737,0.037329085,0.2178691,0.40867478,-0.0862503,-0.054921113
CRTC2,0.061832447,0.011446639,-0.041656237,0.006293067,0.0704027,-0.049250245,-0.0634735,-0.0356437
SLC39A1,0.0121917585,0.08478729,-0.097329594,-0.054155294,0.34449482,0.0447643,0.31665328,-0.08371705
UBE2Q1,0.0077566905,0.048121396,-0.05619266,-0.041018613,0.16838434,-0.034207188,0.5432655,-0.07321104
CKS1B,-0.024277864,-0.12236308,-0.042679973,-0.068929754,0.5049121,0.012782913,0.033927135,0.13731869
SLC50A1,-0.09679937,-0.044834804,-0.04845593,-0.031457208,0.08036335,0.14785224,0.15762515,0.18862261
RIT1,-0.085066415,0.08478224,-0.04674455,0.005813711,0.18614778,0.09396263,-0.17743449,-0.06383506
PMF1,0.10319352,0.09864534,-0.08997386,-0.079126164,-0.008670392,0.048399724,0.26782835,-0.053306736
BGLAP,-0.023958255,-0.026762085,-0.0167707,-0.046896216,-0.046896454,0.018343132,-0.046896454,-0.017605212
GPATCH4,0.025367226,-0.113983795,0.018505042,0.033743314,-0.07436932,0.09811919,-0.023906222,0.047990706
ISG20L2,0.031742014,-0.028719606,-0.02569436,-0.01777288,0.10252603,-0.011285932,0.08441576,0.03130314
HDGF,0.00895378,0.11090467,-0.10679719,-0.04532259,0.27311227,-0.04783005,0.03708221,-0.04225849
FCRL2,-0.080722205,-0.1118679,-0.10362472,-0.12568659,-0.12568648,-0.1256865,-0.12568639,0.705051
CD1C,-0.11368996,-0.03804052,-0.14281756,-0.15972622,-0.12887824,-0.0910485,3.2066507,0.44057631
AIM2,-0.04541909,0.00026932254,-0.12346082,-0.056620903,0.23794459,-0.14179227,-0.14179213,0.31109986
FCER1A,-0.1263728,-0.012209972,-0.037860025,-0.090126544,-0.13734894,-0.034286544,5.7175426,-0.12503733
FCRL6,-0.13656938,-0.17903607,-0.16795631,0.5430691,-0.15777116,1.0201248,-0.031113349,-0.1713666
DCAF8,0.012219076,-0.036063313,-0.034479197,0.06287293,0.028189491,0.05740795,-0.22622345,0.0054468773
PEX19,0.041299406,-0.06608285,-0.019229123,0.12615348,-0.044701707,0.0890838,-0.06782122,-0.06495813
CD48,0.06347299,0.08325265,0.027984062,-0.0070679085,0.5048017,-0.30669093,-0.086174324,-0.27376017
F11R,-0.038367864,-0.004243869,-0.040813945,0.002519201,-0.08441541,0.04655101,0.41508007,-0.028785868
PFDN2,0.012524829,0.123079635,-0.08746139,-0.10003539,0.30695003,-0.04845699,0.37886882,-0.060233563
NIT1,-0.042489935,0.068360746,0.037592456,-0.05734767,0.10003809,-0.022237804,0.24502912,-0.11045584
DEDD,0.037971474,0.032965023,-0.021703284,-0.04420961,0.113713905,-0.014519379,0.055094324,-0.06624133
FCER1G,-0.58184725,1.2448428,-0.5915359,-0.57648027,1.8682396,0.9379777,0.8939402,-0.6212751
FCGR2A,-0.24147609,0.7069474,-0.27566633,-0.28096157,1.0219918,-0.24558508,0.27327305,-0.25334918
FCGR3A,-0.36737397,-0.14959148,-0.38295898,0.023404785,2.515328,1.7050718,-0.28113365,-0.38764676
FCGR2B,-0.13791937,-0.07264371,-0.13491684,-0.13970499,-0.10750046,-0.12543608,0.37680042,0.75839126
FCGR3B,-0.02237039,-0.047668204,-0.0678443,-0.06784423,0.6237558,-0.06784402,-0.067843914,-0.06784423
FCRLA,-0.16324788,-0.19877596,-0.18719739,-0.20669062,-0.16491495,-0.17756097,-0.09081428,1.2304777
TMCO1,0.072129935,-0.07960069,-0.10532411,0.20738447,0.07370355,0.13271014,0.02211371,-0.06427146
CD247,0.19498996,-0.5027646,0.057941023,0.33353487,-0.52707034,1.8375543,-0.46947598,-0.50694984
MPC2,0.00685841,-0.06902601,0.006124964,0.110937655,0.10486175,-0.013390428,0.4940627,-0.11835676
XCL2,-0.20216286,-0.2152736,-0.2120878,0.2695584,-0.21044904,2.33117,-0.22837593,-0.21811211
XCL1,-0.16909257,-0.17067094,-0.17311981,0.21704608,-0.18033938,1.8862433,-0.18033932,-0.1668511
BLZF1,-0.04893319,-0.06926405,0.017106744,0.055736225,-0.035067335,0.09888959,-0.014413746,0.023351146
F5,-0.01662595,0.034445867,0.010171918,-0.0516925,-0.0106403725,-0.014703106,-0.0801587,-0.080158375
SELL,0.16105781,-0.3442989,0.25556508,-0.3928604,-0.52238405,0.35421556,0.046944115,0.27895793
FMO4,-0.019416383,-0.042498466,-0.03249121,-0.004832918,-0.062664345,0.0026776106,-0.06266428,0.025347456
KIAA0040,0.016193895,-0.023726404,-0.05415571,-0.0804158,-0.19689338,-0.19757761,-0.025635906,0.38253024
QSOX1,-0.10387437,0.26589525,-0.086414576,0.02225949,0.041166738,-0.10628413,0.14639482,-0.09956317
DHX9,0.029197486,-0.060496174,0.046048727,0.02500497,-0.105318375,0.028665518,0.042821087,-0.03248887
NCF2,-0.3513792,1.1509178,-0.38573492,-0.36624825,0.77161527,-0.3590535,0.63924026,-0.3131649
COLGALT2,-0.04704021,-0.0470403,-0.04704046,0.010701583,-0.04704002,0.21392176,-0.047040094,-0.047040004
RGS18,-0.13736846,0.21871012,-0.15456344,-0.066706695,0.2161936,-0.14384878,0.23617819,-0.13143116
ZBTB41,-0.019697871,-0.046743724,-0.0052960264,-0.007811188,-0.06565983,-0.0002983829,-0.06565977,-0.0069678496
CSRP1,0.02432558,-0.022382177,-0.018310407,-0.02627593,0.30508935,0.028137969,0.22450325,-0.09850246
IPO9-AS1,-0.023116462,-0.0057877973,-0.030991126,-0.01718454,0.02323063,-0.046052486,-0.046052564,-0.046052705
PTPN7,0.0484974,-0.22600219,0.036798567,0.09578005,-0.23958863,0.55521977,-0.10943711,-0.02880346
RABIF,0.11101959,0.054340355,-0.100556746,0.025416642,0.11040342,-0.017233316,0.18136925,-0.13283168
SOX13,-0.031819347,-0.031819347,-0.0017389342,-0.002992286,-0.03181936,-0.031819355,-0.0318194,-0.031819347
IL24,-0.020480247,-0.046272572,0.024106942,-0.008592571,0.0029780064,-0.0010792909,-0.06644582,-0.066445805
CR1,0.022816245,0.13100119,-0.07207537,-0.055406712,-0.01890234,-0.12517563,-0.12517573,0.026445778
RP1-28O10.1,-0.0011618596,-0.024523458,0.0005253018,-0.044652987,-0.044653058,0.02057194,-0.0446531,-0.044652987
G0S2,-0.17611136,0.619516,-0.20641632,-0.23192796,0.6701917,-0.17444783,-0.14020684,-0.22257048
TRAF3IP3,0.38843304,-0.4432566,0.18262592,0.099689625,-0.20055953,0.07311473,-0.17711589,-0.20716324
LPGAT1,0.020744389,0.056407496,-0.1295927,-0.025481194,0.029365098,0.26535076,-0.0050436147,0.0374692
DUSP10,0.02034625,-0.025954012,-0.006564975,0.056094207,0.060145926,0.055671964,0.1432893,-0.12458883
RP11-378J18.3,-0.038819384,-0.038819492,0.021383159,-0.038819328,-0.038819354,-0.03881935,-0.03881942,-0.009551669
DISP1,-0.036211245,-0.03901873,-0.02901495,-0.059177402,0.010196235,0.006141935,0.2551719,0.028803742
TP53BP2,0.07344124,0.003069986,-0.08521097,0.07222067,-0.003979264,0.008101509,-0.1118545,-0.017734557
CNIH4,0.06706459,-0.0016992474,-0.124508,-0.02353474,0.79439837,-0.10452096,-0.08040549,-0.095325105
LBR,0.031425573,-0.16180453,0.003950567,0.0649007,0.0066798064,0.26652303,-0.03361413,0.013171196
SRP9,0.20476902,-0.2682158,0.03234398,0.108612984,0.079646274,0.20978995,0.09367644,-0.15732062
ACBD3,-0.0015501525,-0.084449545,-0.065991394,-0.019502712,0.15911081,-0.14010638,-0.014828604,0.24925196
PARP1,0.089613445,-0.18105304,-0.08084238,-0.05689325,-0.0931759,0.0733127,-0.03550584,0.38588026
SNAP47,0.08948032,-0.06870771,0.00119844,-0.005057233,-0.09004774,0.008218079,0.050086167,0.008862741
C1orf35,0.004084396,-0.090900496,0.0020730037,-0.04378037,0.13223758,0.1563575,0.2922951,0.01683594
OBSCN,0.0056086495,-0.045161583,0.007900133,0.0028190908,-0.01788723,-0.01671013,-0.08217876,-0.023413934
RNF187,0.03740045,0.027231717,-0.08848064,0.048977017,0.11246068,0.215762,0.26169243,-0.12576635
URB2,-0.044555895,-0.027229773,0.038115203,-0.038611498,-0.067541204,-0.0021675655,-0.06754128,-0.038189754
C1orf198,-0.05345154,-0.033304345,-0.02330626,-0.024562314,-0.05345154,0.077112764,-0.053451546,-0.05345154
GNPAT,0.042803306,0.02187937,-0.040498972,0.037254866,-0.09485892,0.022501763,0.17278542,-0.026820911
SPRTN,0.0007569967,-0.05613926,0.018974502,-0.027104365,0.15259755,0.15462261,0.005397819,-0.066164486
RP5-827C21.4,-0.008627107,0.039356805,0.035699382,-0.07435589,-0.051137503,-0.03855311,-0.15737058,0.005171431
COA6,0.043209948,0.08732015,-0.05407985,-0.052518472,0.10988569,-0.047825385,0.19872648,-0.05678169
RP4-781K5.2,-0.03749205,0.02285342,-0.03749229,-0.037492085,-0.037492264,-0.037492268,-0.03749223,-0.03749209
FH,0.03604812,0.0136354305,-0.060845852,-0.031135276,0.13057512,-0.035314348,0.16629398,0.031444434
SDCCAG8,0.034539405,0.0007075942,-0.04808942,-0.072952315,0.010132081,0.10127713,-0.066677205,0.08459015
ACP1,0.09635735,-0.11634521,-0.024640251,-0.028857166,-0.033186518,0.31180242,-0.048489347,-0.015896257
TMEM18,0.049737934,-0.018925058,-0.031661298,0.0070998464,0.07587478,0.19230771,0.02794864,-0.0945094
TSSC1,-0.0144874845,-0.056180984,0.010078327,0.09185557,-0.14872363,0.03177714,-0.014668214,0.04076109
TRAPPC12-AS1,-0.042611822,-0.045420766,-0.0052293907,-0.065592475,0.00094359496,-0.00023177058,0.24895701,0.022444492
ID2,-0.19490749,0.2793735,-0.2683043,0.35704672,0.18084013,1.1184715,0.68840724,-0.6168191
KLF11,-0.07929776,0.14282791,-0.107895054,-0.089035176,0.36676896,-0.007972691,0.26027754,-0.0050965114
ODC1,-0.04777105,-0.17916949,-0.0121355485,-0.08012006,0.01080585,-0.043770995,-0.04434389,0.30505487
LPIN1,0.1617646,-0.16931124,0.026701625,0.09137121,-0.15647627,0.059161372,0.12607034,-0.07448561
DDX1,0.002926159,-0.09394076,-0.012691722,-0.011832484,0.037411578,0.1140319,0.11688328,0.09490255
RDH14,0.0095492415,-0.112010546,0.06473257,0.09189617,-0.18305795,0.119369954,0.0041450933,-0.034839325
ITSN2,-0.043700993,-0.10533594,-0.072744615,0.15156503,-0.00844659,-0.05577641,0.20845884,0.21687855
DNAJC27,-0.042585425,-0.042585418,-0.0124728205,-0.042585436,-0.042585526,-0.042585514,-0.0425856,0.04525064
DNMT3A,-0.0021167723,-0.065306604,0.053841483,0.021538898,-0.06512954,0.08326649,0.28904274,-0.08625285
ASXL2,0.02669313,0.0051260893,-0.015006996,-0.053987797,0.13158356,-0.050186068,0.004565984,-0.011242734
KIF3C,-0.04321403,0.01637752,-0.028156703,0.014411894,-0.043213967,0.022001714,-0.043213997,-0.043213896
MPV17,-0.020787137,0.11626374,-0.10866781,0.03137274,0.11675197,0.088097006,0.29044622,-0.07491117
SNX17,0.0037766988,0.030024951,-0.16897056,0.038262997,0.2843336,0.19217801,0.11209061,0.028362162
FOSL2,-0.056747034,0.13060616,-0.14728987,0.046549764,0.39904633,0.19123933,0.46553442,-0.17791842
DPY30,0.019056754,-0.18092488,0.03815249,0.1115515,0.06425436,0.10834958,-0.1360587,-0.0006667028
FAM98A,0.0021773796,-0.04282843,-0.022247396,0.01920728,0.025269775,-0.0023249055,0.04620654,0.025776614
CDC42EP3,0.021303311,0.054461684,-0.10475449,0.20266533,0.20295095,0.15801778,-0.26190534,-0.2317438
LINC00211,-0.05002387,0.050677765,-0.050023846,-0.021144252,0.019286925,-0.05002358,-0.05002364,-0.05002382
PIGF,0.0064161704,0.069230184,-0.02354405,-0.0109202955,0.013081852,-0.049882345,0.2447318,-0.06442064
FBXO11,0.075473286,0.013513704,-0.04543444,0.0048503815,-0.03995557,-0.03500194,-0.039380945,0.0010563435
EML6,-0.029386977,-0.03219257,-0.05233756,-0.052337486,-0.052337296,-0.052337293,-0.0523374,0.0941979
MTIF2,0.041613907,-0.0013851371,-0.043031186,-0.03193439,0.044418264,0.0183088,0.33437818,-0.019587798
CCT4,0.09035521,-0.19864796,0.06564473,-0.009098719,-0.06358102,0.015152857,0.5934345,0.03732323
PELI1,-0.03815627,0.06787761,-0.023159675,-0.057758275,0.10354354,-0.09728494,0.14158747,0.04628421
LGALSL,-0.04533391,-0.025202973,-0.030273423,-0.04533392,-0.045334,-0.045333993,-0.045334067,-0.016047234
CEP68,0.06553719,-0.112973094,0.06710506,-0.0666469,0.023442416,-0.041769896,-0.07727286,0.017663961
ACTR2,-0.06375628,0.09848539,-0.12941837,-0.05976245,0.43804538,-0.004466372,0.47167158,0.03665304
NFU1,0.0032803402,-0.096331075,-0.108515784,0.12114445,0.11021699,0.27872458,0.09449196,0.050586317
SNRNP27,0.07525466,-0.028851226,-0.048825987,-0.037900213,0.065678656,-0.015004972,0.41141057,0.025854833
MPHOSPH10,0.079563774,-0.10692884,0.03832055,0.020523075,-0.0016995321,-0.031950034,0.17785934,-0.034156863
CCT7,0.19750984,-0.19960436,-0.018492304,-0.030676078,0.15099174,0.1545645,0.2911636,-0.045348868
