gene_id,definitive_endoderm,endothelial,hepatic_endoderm,immature_hepatoblast,mature_hepatocyte,mesenchymal_stem_cell
gene_name-204,-0.4664046,0.09833722,0.1156225,-0.4664046,0.3462697,-0.4664046
gene_name-206,-0.18257418,-0.18257418,-0.1825742,-0.18257418,-0.1825742,0.91287076
gene_name-223,-1.2492727,0.5178079,0.018997502,-1.2492727,-0.6558458,0.31841612
gene_name-230,-0.31841326,-0.31841326,-0.09890863,-0.31841326,1.7681962,-0.31841326
gene_name-242,-0.26269093,-0.26269093,0.006192992,3.5847776,-0.26269093,-0.26269093
gene_name-243,-0.22700635,-0.22700635,0.22700624,-0.22700635,-0.22700636,-0.22700635
gene_name-249,-0.1825742,-0.1825742,-0.18257421,-0.1825742,1.6431676,-0.1825742
gene_name-251,-0.574641,-0.574641,0.47302887,-0.574641,-0.06658081,-0.574641
gene_name-265,-1.042887,0.550391,-0.31198537,1.0857393,0.49920288,0.07747318
gene_name-273,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-274,-0.78354156,0.4333934,0.018464843,-0.78354156,-0.7835415,0.29475373
gene_name-291,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-297,-0.7681536,-0.30159935,0.61263555,-0.7681536,-0.7681536,-0.7681536
gene_name-302,-0.47947463,-0.10920696,-0.1858692,-0.47947463,2.2301314,-0.47947463
gene_name-304,-0.18257418,-0.18257418,-0.1825742,5.294651,-0.1825742,-0.18257418
gene_name-306,1.4520193,-0.94949734,0.44186383,0.564168,-0.9494973,-0.20963311
gene_name-315,-0.18257418,-0.18257418,0.18257418,-0.18257418,-0.1825742,-0.18257418
gene_name-320,1.3484377,-0.33936447,0.20067038,-1.1072274,-0.83561033,0.19047742
gene_name-325,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-328,-0.4447549,0.98125684,-0.42240584,-0.4447549,1.5143623,-0.4447549
gene_name-329,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-331,0.83653444,-0.49016982,0.41087106,0.40246406,-0.7156496,-0.56085324
gene_name-336,-0.30394167,-0.30394167,0.13419615,-0.30394167,0.5447858,-0.30394167
gene_name-344,-0.1825742,-0.1825742,0.18257411,-0.1825742,-0.1825742,-0.1825742
gene_name-345,-0.26153547,-0.26153547,-0.024570234,-0.26153547,1.1689931,-0.26153547
gene_name-354,-0.5607379,-0.122829,-0.075349174,-0.5607379,0.24659497,0.42521486
gene_name-358,-0.26243922,-0.26243922,0.26243916,-0.26243922,-0.26243922,-0.26243922
gene_name-362,-0.18257418,-0.18257418,-0.1825742,5.2946515,-0.1825742,-0.18257418
gene_name-363,-0.19397828,0.9016961,-0.1939783,-0.19397828,-0.19397826,-0.12578304
gene_name-364,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-370,-0.2600316,-0.2600316,-0.26003164,-0.2600316,2.3402843,-0.2600316
gene_name-372,1.0675812,0.26125783,-0.575303,-1.1995637,1.2158059,0.7615641
gene_name-373,1.2138824,-0.20602758,0.06965366,0.5582057,-0.8843098,0.17323479
gene_name-376,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-384,-0.47217506,-0.47217506,0.29583347,-0.47217506,-0.47217503,0.05684949
gene_name-387,-0.4863068,0.008837843,0.14044243,-0.4863068,-0.4863068,0.056141924
gene_name-389,-0.18257418,-0.18257418,-0.1825742,-0.18257418,-0.1825742,0.91287076
gene_name-390,-0.22729598,-0.22729596,-0.22729594,-0.22729598,1.5587252,0.06486722
gene_name-403,-1.0277728,-0.12165097,0.2465838,0.9763798,-0.25879613,-0.4525443
gene_name-421,-0.26208657,-0.26208657,-0.01828554,-0.26208657,-0.26208657,0.5790297
gene_name-427,-0.18257418,-0.18257418,0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-440,-0.26305264,-0.26305264,0.25892368,-0.26305264,-0.26305264,-0.25066534
gene_name-441,-0.045658372,-0.2957362,0.27906433,-0.2957362,-0.2957362,-0.2957362
gene_name-449,-0.18257418,-0.18257418,0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-452,-0.53766614,-0.53766614,0.04159965,-0.53766614,0.4064019,0.38409263
gene_name-467,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-473,-0.4277213,-0.42772132,-0.045667164,-0.4277213,1.2912635,-0.038946677
gene_name-476,-0.5280218,0.19894457,-0.09010151,-0.5280218,0.4230338,0.028748523
gene_name-482,-0.25181696,0.18520696,0.10614231,-0.25181696,-0.25181696,-0.25181696
gene_name-491,-0.1825742,-0.1825742,0.18257418,-0.1825742,-0.1825742,-0.1825742
gene_name-492,0.47989345,-0.5502829,0.48160452,-0.5502829,-0.5502829,-0.5502829
gene_name-495,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-500,-0.83906484,0.13189574,0.17896315,-0.83906484,-0.2465192,-0.18524782
gene_name-506,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-509,0.9162413,-1.1194198,0.28308755,-0.23849653,0.7689176,-0.3267423
gene_name-512,1.6780454,0.10950969,-0.3973222,1.1405238,0.5876277,0.1661667
gene_name-526,-0.80385,-0.0815902,0.13958234,0.82065743,0.23628235,-0.4822877
gene_name-528,-0.43075266,-0.43075266,-0.052238204,-0.43075266,0.59963644,0.3999863
gene_name-531,-0.3212307,-0.3212307,0.09880325,3.0151815,-0.3212307,-0.3212307
gene_name-534,0.7820514,0.021379352,-0.14901043,2.2499897,0.38125873,-0.40951157
gene_name-537,-0.47806057,-0.37289092,0.18083476,1.2030355,-0.47806057,-0.027771914
gene_name-542,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-553,-0.6382434,-0.36222464,0.4309768,-0.6382434,-0.6382434,-0.2924624
gene_name-556,-0.24200764,-0.24200764,0.24200767,-0.24200764,-0.24200766,-0.24200764
gene_name-560,-0.18257418,-0.18257418,0.18257418,-0.18257418,-0.1825742,-0.18257418
gene_name-561,-0.1825742,-0.1825742,0.18257414,-0.1825742,-0.1825742,-0.1825742
gene_name-565,-0.36601368,-0.36601368,0.3660137,-0.36601368,-0.36601368,-0.36601368
gene_name-567,-0.53890055,0.758004,-0.19057328,-0.53890055,-0.53890055,0.3526165
gene_name-571,-0.38140383,0.1425499,-0.1823373,2.0108354,0.7666324,-0.38140383
gene_name-578,-0.25075644,-0.25075644,0.2507565,-0.25075644,-0.25075644,-0.25075644
gene_name-579,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-581,-0.42363563,0.06305864,0.06785344,-0.42363563,0.54411834,-0.42363563
gene_name-586,-0.31777054,-0.31777054,0.31777057,-0.31777054,-0.31777054,-0.31777054
gene_name-588,-0.19980934,-0.19980934,0.19980931,-0.19980934,-0.19980936,-0.19980934
gene_name-597,-0.1825742,-0.1825742,-0.18257421,-0.1825742,1.6431675,-0.1825742
gene_name-599,-0.26177642,-0.26177642,-0.022045732,-0.26177642,1.1573342,-0.26177642
gene_name-602,-0.54035723,-0.85174626,0.07326727,0.688526,0.81265146,0.11471957
gene_name-603,0.08874558,0.39232278,-0.04573025,-1.0588709,0.5498741,-0.39103144
gene_name-606,-0.40149778,0.20202212,-0.35927957,-0.40149778,1.5506963,0.10599792
gene_name-613,-0.38255882,-0.053364802,0.27282748,-0.38255882,-0.38255882,-0.38255882
gene_name-617,-0.18257418,-0.18257418,0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-620,-0.58588254,0.16591533,-0.12574679,-0.58588254,0.28432155,0.27508512
gene_name-630,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431675,-0.18257418
gene_name-638,-0.37283352,-0.37283352,0.016864551,-0.37283352,0.826958,-0.024801314
gene_name-640,-0.3856037,-0.3856037,0.19384049,-0.3856037,-0.3856037,0.18968603
gene_name-643,-0.26096183,1.3048091,-0.2609618,-0.26096183,-0.26096183,-0.26096183
gene_name-644,5.294651,-0.18257418,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-653,-0.3825918,-0.14531638,0.12723444,2.2613919,-0.3825918,-0.3825918
gene_name-656,-0.18257418,-0.18257418,-0.1825742,5.294651,-0.1825742,-0.18257418
gene_name-660,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431676,-0.18257418
gene_name-665,-0.5682716,-0.5682716,0.12242232,1.4727534,0.98063326,-0.5682716
gene_name-666,0.5358548,0.34251332,-0.18035068,1.1067524,0.58468586,-0.48079434
gene_name-681,0.89360106,-0.04811565,-0.3993412,0.5276554,0.20833915,0.8368843
gene_name-684,4.201758,-0.28533745,-0.06773367,-0.28533745,-0.28533745,-0.12354314
gene_name-687,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431675,-0.18257418
gene_name-688,-0.39084354,-0.39084354,-0.36531073,2.0342069,2.581578,-0.39084354
gene_name-691,-0.43444446,-0.4344445,-0.1405573,-0.43444446,0.7440371,0.58347195
gene_name-692,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-696,-0.18257418,-0.18257418,0.18257417,-0.18257418,-0.1825742,-0.18257418
gene_name-704,-0.31427687,-0.31427687,-0.31427687,-0.31427687,2.828492,-0.31427687
gene_name-711,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-718,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431675,-0.18257418
gene_name-721,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431675,-0.18257418
gene_name-722,-0.2005276,-0.2005276,-0.16405453,5.268204,-0.2005276,-0.2005276
gene_name-732,1.6571767,0.58755577,-0.25742033,0.8999449,-0.67158943,0.07623478
gene_name-737,-0.3556818,0.77313006,-0.020588892,-0.3556818,-0.3556818,-0.3556818
gene_name-750,-0.26252678,0.49235207,0.01090051,-0.26252678,-0.26252678,-0.26252678
gene_name-753,3.7929113,-0.28914964,0.017012239,-0.28914964,-0.28914964,-0.28914964
gene_name-756,2.4436193,0.020664264,0.030398536,-0.57880616,-0.57880616,-0.13753887
gene_name-757,-0.3105588,-0.3105588,0.18492977,-0.3105588,-0.3105588,0.06632843
gene_name-758,1.4883869,-0.5414465,0.08204937,1.3028045,0.46417773,-0.5414465
gene_name-763,-0.2502051,-0.2502051,0.25020513,-0.2502051,-0.2502051,-0.2502051
gene_name-764,-0.26273832,-0.26273832,0.26273835,-0.26273832,-0.26273832,-0.26273832
gene_name-769,-0.58191127,-0.58191127,0.44436917,-0.58191127,-0.58191127,-0.16928473
gene_name-777,-0.19193973,-0.19193973,0.19193967,-0.19193973,-0.19193973,-0.19193973
gene_name-778,-0.40234643,0.7675431,-0.3702103,2.3165348,-0.40234646,0.20165792
gene_name-780,-0.6849478,0.5760728,0.1124434,-0.6849478,-0.6849478,-0.22845522
gene_name-781,1.344411,-0.12842198,-0.0043005785,-0.83786345,-0.2921802,0.2153224
gene_name-783,-0.6240635,-0.3197757,-0.13900939,1.4525211,0.5390792,0.24766465
gene_name-784,1.360216,-0.7241491,0.2370833,0.8095334,-0.9849457,0.16991669
gene_name-789,2.2238183,-0.029503893,-0.48383662,-0.55796194,-0.55796194,1.4826196
gene_name-792,-0.2623405,0.56816375,-0.26234052,-0.2623405,-0.2623405,0.48119807
gene_name-800,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-801,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-802,-0.1825742,-0.1825742,0.18257414,-0.1825742,-0.1825742,-0.1825742
gene_name-803,-0.1825742,-0.1825742,0.18257417,-0.1825742,-0.1825742,-0.1825742
gene_name-806,2.770635,0.050498873,-0.44276386,-0.4677336,0.080024414,0.7691979
gene_name-807,2.4578614,0.6692802,-0.23269592,-0.52904487,-0.52904487,-0.039528728
gene_name-810,-0.8358958,0.28442362,0.091003135,-0.8358958,-0.8358958,0.27846283
gene_name-820,2.502806,0.5992326,-0.4166397,-0.46121725,-0.46121725,0.5190988
gene_name-822,-0.30938378,0.047688644,-0.3093838,-0.30938378,1.1206973,0.33179787
gene_name-834,1.7182869,-0.91022474,0.090207405,0.55099714,-0.9724428,0.7692115
gene_name-835,-0.18257418,-0.18257418,-0.1825742,5.2946515,-0.1825742,-0.18257418
gene_name-836,-0.3715628,-0.3715628,0.23191507,-0.3715628,-0.3715628,0.047380336
gene_name-841,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-843,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431676,-0.18257418
gene_name-844,-0.40903762,0.17693996,0.21371177,-0.40903762,-0.40903762,-0.40903765
gene_name-849,1.1953696,0.55470717,-0.2958993,0.68297374,-1.0266736,0.57332635
gene_name-854,-1.9300799,0.40801826,0.3517854,-0.14335266,-0.4494896,-0.77899396
gene_name-857,-0.6685494,0.112764314,0.34618607,-0.6685494,-0.35892227,-0.6685494
gene_name-858,-0.51291245,-0.4328095,0.08587904,1.9445004,-0.51291245,0.19660209
gene_name-859,1.2930671,-0.6489911,0.06875921,-1.0467535,1.0939606,-0.26292562
gene_name-860,-0.3422105,-0.3422105,-0.094278336,-0.3422105,1.8402337,-0.3422105
gene_name-867,-0.5237591,0.3915844,-0.45349896,-0.5237591,0.54458386,0.8516663
gene_name-878,-0.18257418,0.91287076,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-880,-0.7866624,-0.19212098,-0.17042303,1.0242478,0.4446415,0.3890881
gene_name-881,-0.31437665,0.5467818,-0.28243783,-0.31437665,1.234432,-0.31437665
gene_name-883,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431676,-0.18257418
gene_name-887,3.7527614,0.30088905,-0.39361665,-0.39361665,-0.39361665,0.44430193
gene_name-897,-0.18647209,-0.18647209,0.18647204,-0.18647209,-0.1864721,-0.18647209
gene_name-909,-0.49807018,0.14261556,0.011745739,2.1904376,-0.49807015,-0.21748424
gene_name-912,2.953535,-0.40180022,0.06761249,-0.4018002,-0.4018002,-0.07030408
gene_name-925,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-929,-0.39963552,-0.39963552,0.014213592,-0.39963552,1.5274744,-0.39963552
gene_name-934,-0.1825742,-0.1825742,-0.18257421,-0.1825742,1.6431676,-0.1825742
gene_name-951,-0.8724109,0.25658804,-0.07287885,0.87484664,-0.34115615,0.16625515
gene_name-952,0.2870393,0.3127243,0.1440279,-0.44567543,-0.44567546,-0.44567543
gene_name-956,-0.2223405,0.038794886,-0.22234052,-0.2223405,1.5658388,-0.2223405
gene_name-959,0.8341801,-0.26449043,-0.17167164,0.43853644,0.07010833,0.48289698
gene_name-960,-0.18257418,0.912871,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-963,-0.1825742,-0.1825742,-0.18257421,5.294651,-0.1825742,-0.1825742
gene_name-970,-0.89844537,-0.10796056,-0.033618443,0.98060423,0.7350581,-0.24865076
gene_name-973,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-981,-0.3201388,-0.3201388,0.16792437,-0.3201388,-0.3201388,0.13650441
gene_name-984,-0.38096988,-0.38096988,-0.17612152,-0.38096988,1.6574997,0.06722267
gene_name-987,0.39844158,0.3082967,0.20851043,-0.881646,-0.881646,-0.30819952
gene_name-988,-0.5411721,-0.17092976,0.417758,-0.5411721,-0.5411721,-0.5411721
gene_name-995,-0.18257418,-0.18257418,0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1007,-0.25395903,-0.25395903,0.065183885,2.5776687,-0.25395903,-0.25395903
gene_name-1009,-0.3608334,-0.3608334,-0.002549076,1.1534351,0.95132285,-0.3608334
gene_name-1010,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-1016,-0.18257418,-0.18257418,0.18257408,-0.18257418,-0.1825742,-0.18257418
gene_name-1017,-0.26107964,-0.26107964,0.028740885,-0.26107964,-0.26107964,0.43593675
gene_name-1018,-0.1825742,-0.1825742,-0.18257421,-0.1825742,1.6431675,-0.1825742
gene_name-1021,-0.2614705,-0.2614705,-0.26147053,-0.2614705,2.3532345,-0.2614705
gene_name-1024,-0.5742029,-0.5742029,0.0619993,1.8744084,1.1706114,-0.5742029
gene_name-1042,-0.22724155,0.072076626,0.12746887,-0.22724155,-0.22724156,-0.22724155
gene_name-1045,-0.18257418,0.912871,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1049,-0.37063304,-0.37063304,0.26313728,-0.37063304,-0.37063304,-0.04814589
gene_name-1054,1.235258,-0.03478508,0.13061385,-1.2195486,-1.0372497,0.26215154
gene_name-1060,-0.53427607,-0.53427607,0.24479185,-0.53427607,0.9131449,-0.53427607
gene_name-1075,-0.25136155,-0.25136155,0.25136152,-0.25136155,-0.25136155,-0.25136155
gene_name-1077,1.6209005,-0.25330135,0.007116723,-0.6766586,0.5798969,-0.3048353
gene_name-1085,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431676,-0.18257418
gene_name-1086,-0.2158565,-0.0025796115,0.14476418,-0.2158565,-0.2158565,-0.2158565
gene_name-1090,1.9762963,-0.49886817,0.19356824,-0.49886817,-0.49886814,-0.07800122
gene_name-1092,0.7510061,-0.52076554,0.08280042,-1.165542,0.17249914,0.25177193
gene_name-1093,-0.18257418,-0.18257418,0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1095,2.2571783,-0.10067358,0.010487527,-0.48348996,-0.48348996,0.0045674145
gene_name-1096,2.6100655,-0.43706042,-0.24996224,-0.43706042,-0.43706045,1.0145824
gene_name-1099,-0.3580276,-0.3580276,0.18041253,-0.3580276,-0.3580276,0.17481753
gene_name-1100,-0.1825742,-0.1825742,0.18257418,-0.1825742,-0.1825742,-0.1825742
gene_name-1108,1.8154932,0.08511251,0.04685754,-0.8570357,-0.8570357,0.096844815
gene_name-1111,-0.26187357,-0.26187357,-0.26187354,-0.26187357,2.356862,-0.26187357
gene_name-1118,-0.20390467,-0.07255742,0.16012226,-0.20390467,-0.20390467,-0.20390467
gene_name-1119,-0.36260593,-0.36260593,-0.11187151,-0.36260593,2.0097811,-0.36260593
gene_name-1121,1.3974732,0.41184005,0.06192978,-0.98803294,-0.18933229,-0.56591815
gene_name-1124,1.5502735,-0.43422335,0.025777612,1.0367887,-0.82560873,0.3348434
gene_name-1125,-0.58213025,0.061182916,-0.020675877,-0.58213025,-0.58213025,0.58297503
gene_name-1126,0.3698562,0.5311128,0.23358996,-1.4800245,-0.6032445,-0.6479022
gene_name-1129,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-1130,-0.34865183,-0.16541009,-0.08996563,-0.34865183,1.5390323,-0.34865183
gene_name-1137,-0.21274258,-0.021528244,0.14900444,-0.21274258,-0.21274258,-0.2127426
gene_name-1138,1.0395932,-0.09131901,0.25590447,1.0825721,-0.8785327,-0.5737077
gene_name-1145,-0.4802535,-0.16471641,0.2406399,-0.4802535,-0.35235998,-0.15368588
gene_name-1146,0.8011772,0.13574344,-0.33504242,0.0076740575,0.90283805,0.16591063
gene_name-1181,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-1199,1.0362803,0.5816822,-0.5005823,-1.9067895,0.7871611,0.62186944
gene_name-1201,-0.18257418,0.91287076,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1203,-0.43795598,0.57870805,-0.2351505,-0.43795598,-0.43795598,0.56469977
gene_name-1204,0.89718825,0.524086,-0.10604826,0.44822818,0.8659918,-0.99461955
gene_name-1205,-0.09485179,-0.7229651,0.34410757,0.85333395,1.2079929,-1.1858498
gene_name-1206,0.63704145,-0.24087636,-0.0048966724,0.18531401,-0.19475317,0.2079473
gene_name-1210,-1.3895253,-0.0126213785,0.19654983,0.5713895,-0.031013012,-0.39479303
gene_name-1213,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-1215,-0.52972084,-0.043602776,0.25617808,-0.52972084,-0.52972084,-0.19521073
gene_name-1218,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1226,-1.095641,0.39529675,-0.06431883,0.95177644,-1.0131167,0.43430263
gene_name-1227,-0.1825742,-0.1825742,-0.18257421,5.2946515,-0.1825742,-0.1825742
gene_name-1228,-0.4605554,0.111189224,0.0050367354,1.7983584,-0.4605554,-0.117526814
gene_name-1230,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1240,-0.9182088,-0.24020796,0.34818205,0.88041127,-0.34538904,-0.58954513
gene_name-1241,-0.5916504,-0.12580624,0.15393488,1.5574831,0.10414223,-0.5916504
gene_name-1249,-0.74166596,-0.74166596,0.036054548,0.87797767,0.6955618,0.1889027
gene_name-1253,-0.18257418,0.9128709,-0.1825742,-0.18257418,-0.1825742,-0.18257418
gene_name-1255,-0.18257418,-0.18257418,-0.1825742,-0.18257418,-0.1825742,0.912871
gene_name-1263,-1.0366219,0.29315114,-0.029765654,0.59562373,0.34985086,-0.32556504
gene_name-1268,-1.3828493,0.17779677,0.080053695,0.70566785,0.927419,-0.83897316
gene_name-1277,-1.1807406,-0.2932103,-0.08432129,-1.1807406,1.0901886,0.3643573
gene_name-1278,-0.5326363,-0.5326363,0.38475198,-0.5326363,0.20678549,-0.5326363
gene_name-1286,-0.32468924,-0.32468924,0.07156662,-0.32468924,0.9409237,-0.32468924
gene_name-1288,-0.18257418,-0.18257418,0.18257414,-0.18257418,-0.1825742,-0.18257418
gene_name-1292,-0.24313988,-0.2431399,-0.09627342,-0.24313988,1.4539266,-0.2431399
gene_name-1293,-0.24641535,-0.24641535,0.24641532,-0.24641535,-0.24641533,-0.24641535
gene_name-1305,-0.40314507,0.72779953,-0.29211634,-0.40314507,0.8303032,-0.18837428
gene_name-1313,-0.1825742,-0.1825742,0.18257414,-0.1825742,-0.1825742,-0.1825742
gene_name-1318,-0.1825742,-0.1825742,0.18257417,-0.1825742,-0.1825742,-0.1825742
gene_name-1343,1.2978736,1.1885642,-0.5398581,-0.860584,-0.860584,0.8599022
gene_name-1346,-0.25165078,1.2582538,-0.25165078,-0.25165078,-0.25165078,-0.25165078
gene_name-1358,-0.18257418,-0.18257418,-0.1825742,-0.18257418,1.6431676,-0.18257418
gene_name-1361,-0.25835034,-0.25835034,0.046359524,-0.25835034,-0.25835034,0.3776222
gene_name-1367,-0.2467757,-0.2467757,0.08721292,-0.2467757,-0.2467757,0.2319128
gene_name-1389,-0.18257418,-0.18257418,0.18257411,-0.18257418,-0.1825742,-0.18257418
gene_name-1390,-0.29739213,-0.29739213,-0.013805945,-0.29739213,1.2585982,-0.29739213
gene_name-1392,-0.39719868,-0.31673783,0.007596127,2.238404,-0.39719868,0.1640275
gene_name-1395,-0.35491234,-0.35491234,0.2839026,-0.35491234,0.00013641517,-0.35491234
gene_name-1399,1.3323945,0.55687916,-0.28371054,-1.1509211,0.20705372,0.13372561
